

				----* 171 x 171 Matrix *----


	  Iteration :  13559 | Best Fitness :   4359 | Optimum : 2755 


PATH:

17  18  19  20  75  11  12  158  32  36  37  170  73  59  60  68  67  167  70  84  71  50  168  72  78  77  1  0  2  3  4  9  10  76  74  21  43  55  57  62  61  66  65  42  41  29  24  15  159  16  22  23  161  152  142  141  115  105  97  98  91  154  89  90  88  153  87  86  85  69  63  64  56  54  58  82  79  80  81  113  116  117  118  102  100  101  95  94  92  93  166  108  83  49  38  39  40  155  156  45  44  46  47  48  51  52  53  34  35  157  33  31  30  28  27  26  25  150  160  149  148  144  143  147  137  136  129  128  130  131  127  119  124  121  122  123  162  120  103  163  99  96  165  104  114  164  126  125  146  145  140  134  132  133  6  151  7  8  5  169  112  111  110  109  107  106  135  138  139  14  13  


================================



  BAT 1 : 	6166  
  BAT 2 : 	7228  
  BAT 3 : 	6576  
  BAT 4 : 	7189  
  BAT 5 : 	6314  
  BAT 6 : 	6606  
  BAT 7 : 	6397  
  BAT 8 : 	6591  
  BAT 9 : 	6194  
  BAT 10 : 	5613  
  BAT 11 : 	6479  
  BAT 12 : 	5653  
  BAT 13 : 	5251  
  BAT 14 : 	6829  
  BAT 15 : 	6365  
  BAT 16 : 	6502  
  BAT 17 : 	4359  
  BAT 18 : 	6372  
  BAT 19 : 	5046  
  BAT 20 : 	6483  
  BAT 21 : 	6565  
  BAT 22 : 	5026  
  BAT 23 : 	7016  
  BAT 24 : 	7014  
  BAT 25 : 	6928  
  BAT 26 : 	6782  
  BAT 27 : 	6447  
  BAT 28 : 	6422  
  BAT 29 : 	6806  
  BAT 30 : 	6885  
  BAT 31 : 	6267  
  BAT 32 : 	7156  
  BAT 33 : 	6868  
  BAT 34 : 	6779  
  BAT 35 : 	6348  
  BAT 36 : 	6448  
  BAT 37 : 	6855  
  BAT 38 : 	4491  
  BAT 39 : 	6812  
  BAT 40 : 	5833  
