

				----* 56 x 56 Matrix *----


	  Iteration :  40864 | Best Fitness :   1645 | Optimum : 1608 


PATH:

0  33  31  47  53  43  44  28  29  26  25  24  42  21  22  20  40  41  50  23  54  27  49  45  30  46  55  34  1  2  13  35  4  6  5  48  3  7  32  8  36  9  37  11  19  18  39  38  10  51  14  12  15  16  17  52  


================================



  BAT 1 : 	1944  
  BAT 2 : 	1901  
  BAT 3 : 	1834  
  BAT 4 : 	1805  
  BAT 5 : 	2130  
  BAT 6 : 	2051  
  BAT 7 : 	1796  
  BAT 8 : 	1862  
  BAT 9 : 	1924  
  BAT 10 : 	2008  
  BAT 11 : 	1858  
  BAT 12 : 	1939  
  BAT 13 : 	1776  
  BAT 14 : 	1749  
  BAT 15 : 	1813  
  BAT 16 : 	1782  
  BAT 17 : 	1851  
  BAT 18 : 	1693  
  BAT 19 : 	1881  
  BAT 20 : 	1690  
  BAT 21 : 	1915  
  BAT 22 : 	1993  
  BAT 23 : 	1858  
  BAT 24 : 	1688  
  BAT 25 : 	1831  
  BAT 26 : 	1775  
  BAT 27 : 	1897  
  BAT 28 : 	1969  
  BAT 29 : 	1784  
  BAT 30 : 	1645  
  BAT 31 : 	1672  
  BAT 32 : 	1903  
  BAT 33 : 	1942  
  BAT 34 : 	1672  
  BAT 35 : 	1729  
  BAT 36 : 	1713  
  BAT 37 : 	1833  
  BAT 38 : 	1708  
  BAT 39 : 	2039  
  BAT 40 : 	1882  
  BAT 41 : 	1888  
  BAT 42 : 	1864  
